bootstrap_iter,sample_size,ari_vs_full,n_clusters,noise_frac
0,8,1.0,1,0.25
1,8,1.0,1,0.25
2,8,0.3548387096774194,2,0.125
3,8,1.0,1,0.125
4,8,1.0,1,0.125
5,8,1.0,1,0.25
6,8,1.0,1,0.125
7,8,1.0,1,0.25
8,8,1.0,1,0.25
9,8,1.0,1,0.25
10,8,1.0,1,0.125
11,8,1.0,1,0.125
12,8,1.0,1,0.125
13,8,1.0,1,0.0
14,8,1.0,1,0.25
15,8,1.0,1,0.125
16,8,1.0,1,0.25
17,8,1.0,1,0.125
18,8,1.0,1,0.125
19,8,1.0,1,0.25
20,8,1.0,1,0.25
21,8,0.3548387096774194,2,0.125
22,8,0.46153846153846156,1,0.25
23,8,0.46153846153846156,2,0.25
24,8,1.0,1,0.25
25,8,1.0,1,0.125
26,8,0.5050505050505051,1,0.375
27,8,1.0,1,0.125
28,8,1.0,1,0.125
29,8,1.0,1,0.25
30,8,0.3548387096774194,2,0.125
31,8,0.5050505050505051,1,0.375
32,8,1.0,1,0.25
33,8,0.5050505050505051,1,0.375
34,8,1.0,1,0.25
35,8,0.5050505050505051,1,0.375
36,8,1.0,1,0.25
37,8,1.0,1,0.125
38,8,1.0,1,0.125
39,8,1.0,1,0.125
40,8,0.5050505050505051,1,0.375
41,8,1.0,1,0.125
42,8,1.0,1,0.25
43,8,1.0,1,0.25
44,8,1.0,1,0.125
45,8,1.0,1,0.125
46,8,1.0,1,0.25
47,8,1.0,1,0.25
48,8,0.46153846153846156,2,0.25
49,8,1.0,1,0.25
50,8,1.0,1,0.25
51,8,1.0,1,0.0
52,8,1.0,1,0.25
53,8,1.0,1,0.25
54,8,1.0,1,0.25
55,8,1.0,1,0.125
56,8,0.46153846153846156,2,0.25
57,8,1.0,1,0.25
58,8,1.0,1,0.25
59,8,0.46153846153846156,2,0.25
60,8,0.46153846153846156,1,0.25
61,8,0.46153846153846156,2,0.25
62,8,1.0,1,0.125
63,8,0.5050505050505051,1,0.375
64,8,1.0,1,0.125
65,8,1.0,1,0.25
66,8,1.0,1,0.125
67,8,1.0,1,0.125
68,8,1.0,1,0.25
69,8,1.0,1,0.25
70,8,0.46153846153846156,2,0.25
71,8,1.0,1,0.125
72,8,1.0,1,0.125
73,8,1.0,1,0.125
74,8,1.0,1,0.125
75,8,1.0,1,0.25
76,8,0.3548387096774194,2,0.125
77,8,1.0,1,0.125
78,8,1.0,1,0.0
79,8,1.0,1,0.125
80,8,1.0,1,0.25
81,8,1.0,1,0.25
82,8,1.0,1,0.125
83,8,1.0,1,0.125
84,8,1.0,1,0.25
85,8,1.0,1,0.25
86,8,1.0,1,0.125
87,8,0.3548387096774194,2,0.125
88,8,1.0,1,0.25
89,8,0.46153846153846156,1,0.25
90,8,0.5050505050505051,1,0.375
91,8,1.0,1,0.125
92,8,1.0,1,0.25
93,8,1.0,1,0.25
94,8,1.0,1,0.125
95,8,0.46153846153846156,2,0.25
96,8,1.0,1,0.25
97,8,1.0,1,0.25
98,8,1.0,1,0.25
99,8,1.0,1,0.125
